Date,open,high,low,close,volume,dividends,stock splits
1984-02-01,14.5625,14.75,13.875,14.1875,1261200.0,0.0,0.0
1984-02-02,14.25,14.6875,13.8125,14.5625,1735600.0,0.0,0.0
1984-02-03,14.5625,14.5625,14.0,14.25,632200.0,0.0,0.0
1984-02-06,14.0,14.1875,13.25,13.375,879200.0,0.0,0.0
1984-02-07,13.6875,14.125,13.1875,13.875,874400.0,0.0,0.0
1984-02-08,13.9375,14.0,12.75,13.0,960800.0,0.0,0.0
1984-02-09,12.875,13.9375,12.5625,13.5,1406600.0,0.0,0.0
1984-02-10,13.625,13.75,12.8125,13.1875,1302800.0,0.0,0.0
1984-02-13,13.25,13.375,12.8125,13.375,598000.0,0.0,0.0
1984-02-14,13.5,13.9375,13.4375,13.9375,400600.0,0.0,0.0
1984-02-15,13.9375,13.9375,13.5625,13.6875,420200.0,0.0,0.0
1984-02-16,13.6875,14.0625,13.5,13.8125,514400.0,0.0,0.0
1984-02-17,13.5625,13.9375,13.5,13.5,436200.0,0.0,0.0
1984-02-21,13.625,13.9375,13.5625,13.875,317400.0,0.0,0.0
1984-02-22,14.0,14.1875,13.8125,13.9375,534400.0,0.0,0.0
1984-02-23,13.8125,13.8125,13.0,13.5,626600.0,0.0,0.0
1984-02-24,13.625,14.9375,13.625,14.875,763600.0,0.0,0.0
1984-02-27,15.0,15.125,14.5625,14.875,648400.0,0.0,0.0
1984-02-28,14.75,14.75,14.0,14.1875,963600.0,0.0,0.0
1984-02-29,14.25,14.5,13.875,14.125,472000.0,0.0,0.0
1984-03-01,14.1875,14.75,14.125,14.5625,668200.0,0.0,0.0
1984-03-02,14.875,15.25,14.375,14.5,1161800.0,0.0,0.0
1984-03-05,14.625,14.6875,14.3125,14.625,146800.0,0.0,0.0
1984-03-06,14.5,14.6875,13.625,13.75,452600.0,0.0,0.0
1984-03-07,13.4375,13.625,13.1875,13.5625,1066800.0,0.0,0.0
1984-03-08,13.5,14.0625,13.5,13.75,468600.0,0.0,0.0
1984-03-09,13.8125,13.8125,13.5,13.75,537800.0,0.0,0.0
1984-03-12,13.9375,14.6875,13.9375,14.625,556400.0,0.0,0.0
1984-03-13,14.875,15.375,14.8125,15.0,1336800.0,0.0,0.0
1984-03-14,14.9375,15.25,14.9375,14.9375,830000.0,0.0,0.0
1984-03-15,14.9375,15.0625,14.8125,14.9375,470200.0,0.0,0.0
1984-03-16,15.875,15.875,15.125,15.25,964600.0,0.0,0.0
1984-03-19,15.125,15.125,14.75,14.875,392800.0,0.0,0.0
1984-03-20,15.0,15.1875,14.75,14.875,619200.0,0.0,0.0
1984-03-21,14.75,14.8125,14.4375,14.4375,514800.0,0.0,0.0
1984-03-22,14.3125,14.375,14.0625,14.0625,362400.0,0.0,0.0
1984-03-23,14.1875,14.3125,13.8125,13.9375,355600.0,0.0,0.0
1984-03-26,13.8125,14.1875,13.625,14.125,473400.0,0.0,0.0
1984-03-27,14.125,14.375,14.0,14.125,469400.0,0.0,0.0
