symbol,current_price,current_market_cap,company_name,sector,exchange
JNPR,39.95,13358600850.0,"Juniper Networks, Inc.",Communication Equipment,NYSE
JPM,302.55,823620403196.0,JPMorgan Chase & Co.,Banks - Diversified,NYSE
K,83.44,29031498564.0,Kellanova,Food Confectioners,NYSE
KBH,66.36,4192200826.0,KB Home,Residential Construction,NYSE
KEY,21.7,23922101700.0,KeyCorp,Banks - Regional,NYSE
KEYS,233.51,40121016158.0,"Keysight Technologies, Inc.","Hardware, Equipment & Parts",NYSE
KHC,24.8,29356752000.0,The Kraft Heinz Company,Packaged Foods,NASDAQ
KIM,22.71,15379076081.0,Kimco Realty Corporation,REIT - Retail,NYSE
KLAC,1464.13,192375455051.0,KLA Corporation,Semiconductors,NASDAQ
KMB,109.41,36312425822.0,Kimberly-Clark Corporation,Household & Personal Products,NASDAQ
KMI,32.32,71904255805.0,"Kinder Morgan, Inc.",Oil & Gas Midstream,NYSE
KO,78.68,338450674800.0,The Coca-Cola Company,Beverages - Non-Alcoholic,NYSE
KR,71.25,47215820753.0,The Kroger Co.,Grocery Stores,NYSE
LDOS,176.3,22540866824.0,"Leidos Holdings, Inc.",Information Technology Services,NYSE
LEN,122.28,31517199589.0,Lennar Corporation,Residential Construction,NYSE
LH,282.63,23430027000.0,Labcorp Holdings Inc.,Medical - Equipment & Services,NYSE
LIN,481.0,224602469000.0,Linde plc,Chemicals - Specialty,NASDAQ
LLY,1040.0,932315069920.0,Eli Lilly and Company,Drug Manufacturers - General,NYSE
LMT,652.58,151005576977.0,Lockheed Martin Corporation,Aerospace & Defense,NYSE
LNC,40.88,7764708364.0,Lincoln National Corporation,Insurance - Life,NYSE
LNT,71.19,18299652120.0,Alliant Energy Corporation,Regulated Electric,NASDAQ
LOW,287.39,161211839227.0,"Lowe's Companies, Inc.",Home Improvement,NYSE
LRCX,235.53,294123033630.0,Lam Research Corporation,Semiconductors,NASDAQ
LUMN,8.39,8605150979.0,"Lumen Technologies, Inc.",Telecommunications Services,NYSE
LUV,51.11,26431795168.0,Southwest Airlines Co.,"Airlines, Airports & Air Services",NYSE
LVS,57.15,38641086446.0,Las Vegas Sands Corp.,"Gambling, Resorts & Casinos",NYSE
LW,49.82,6942540255.0,"Lamb Weston Holdings, Inc.",Packaged Foods,NYSE
LYV,158.27,36751757523.0,"Live Nation Entertainment, Inc.",Entertainment,NYSE
MA,518.36,462603976625.0,Mastercard Incorporated,Financial - Credit Services,NYSE
MAA,135.55,15845933261.0,"Mid-America Apartment Communities, Inc.",REIT - Residential,NYSE
MAR,353.89,93775541650.0,"Marriott International, Inc.",Travel Lodging,NASDAQ
MCD,327.58,233762520835.0,McDonald's Corporation,Restaurants,NYSE
MCHP,78.56,42511565600.0,Microchip Technology Incorporated,Semiconductors,NASDAQ
MCK,934.75,115373055479.0,McKesson Corporation,Medical - Distribution,NYSE
MCO,426.44,76485697162.0,Moody's Corporation,Financial - Data & Stock Exchanges,NYSE
MDB,368.4,29984724384.0,"MongoDB, Inc.",Software - Infrastructure,NASDAQ
MDLZ,62.59,80763543522.0,"Mondelez International, Inc.",Food Confectioners,NASDAQ
MDT,99.49,127607476585.0,Medtronic plc,Medical - Devices,NYSE
MET,77.31,50938940520.0,"MetLife, Inc.",Insurance - Life,NYSE
META,639.77,1612855671777.0,"Meta Platforms, Inc.",Internet Content & Information,NASDAQ
MGM,34.14,9337509862.0,MGM Resorts International,"Gambling, Resorts & Casinos",NYSE
MKC,71.49,19190650421.0,"McCormick & Company, Incorporated",Packaged Foods,NYSE
MKTX,179.36,6701565787.0,MarketAxess Holdings Inc.,Financial - Capital Markets,NASDAQ
MLM,678.86,40940107097.0,"Martin Marietta Materials, Inc.",Construction Materials,NYSE
MMC,182.7,89819709368.0,"Marsh & McLennan Companies, Inc.",Insurance - Brokers,NYSE
MMM,171.82,90497594000.0,3M Company,Conglomerates,NYSE
MO,67.25,112890666983.0,"Altria Group, Inc.",Tobacco,NYSE
MOH,135.35,6970525000.0,"Molina Healthcare, Inc.",Medical - Healthcare Plans,NYSE
MOS,29.65,9411143553.0,The Mosaic Company,Agricultural Inputs,NYSE
MPC,203.26,61100461914.0,Marathon Petroleum Corporation,Oil & Gas Refining & Marketing,NYSE
MRK,121.41,303255879559.0,"Merck & Co., Inc.",Drug Manufacturers - General,NYSE
MRNA,42.23,16500681448.0,"Moderna, Inc.",Biotechnology,NASDAQ
MRO,28.55,15971155043.0,Marathon Oil Corporation,Oil & Gas Exploration & Production,NYSE
MS,171.15,272010280876.0,Morgan Stanley,Financial - Capital Markets,NYSE
MSCI,526.06,39527902730.0,MSCI Inc.,Financial - Data & Stock Exchanges,NYSE
MSFT,401.32,2980053831600.0,Microsoft Corporation,Software - Infrastructure,NASDAQ
MTB,228.71,35150618523.0,M&T Bank Corporation,Banks - Regional,NYSE
MTCH,30.5,7200140765.0,"Match Group, Inc.",Software - Application,NASDAQ
MTD,1360.95,27802088140.0,Mettler-Toledo International Inc.,Medical - Diagnostics & Research,NYSE
MTH,80.6,5674780020.0,Meritage Homes Corporation,Residential Construction,NYSE
MU,411.66,463327142383.0,"Micron Technology, Inc.",Semiconductors,NASDAQ
NCLH,21.49,9783483439.0,Norwegian Cruise Line Holdings Ltd.,Travel Services,NYSE
NDAQ,79.47,45599510504.0,"Nasdaq, Inc.",Financial - Data & Stock Exchanges,NASDAQ
NEE,93.8,195348818000.0,"NextEra Energy, Inc.",Regulated Electric,NYSE
NEM,125.8,137280883010.0,Newmont Corporation,Gold,NYSE
NET,195.85,68917075805.0,"Cloudflare, Inc.",Software - Infrastructure,NYSE
NFLX,76.87,325723045146.0,"Netflix, Inc.",Entertainment,NASDAQ
NI,46.36,21939060044.0,NiSource Inc.,Regulated Gas,NYSE
NKE,63.13,93294964664.0,"NIKE, Inc.",Apparel - Footwear & Accessories,NYSE
NOC,702.57,99710139540.0,Northrop Grumman Corporation,Aerospace & Defense,NYSE
NOV,19.2,7003255296.0,NOV Inc.,Oil & Gas Equipment & Services,NYSE
NOW,107.08,112005680000.0,"ServiceNow, Inc.",Software - Application,NYSE
NSC,314.94,70726713554.0,Norfolk Southern Corporation,Railroads,NYSE
NTAP,102.42,20444914889.0,"NetApp, Inc.",Computer Hardware,NASDAQ
NTRS,146.38,27683000913.0,Northern Trust Corporation,Asset Management,NASDAQ
NUE,183.23,41933834570.0,Nucor Corporation,Steel,NYSE
NVDA,182.81,4450875342753.0,NVIDIA Corporation,Semiconductors,NASDAQ
NVR,7501.97,21301318677.0,"NVR, Inc.",Residential Construction,NYSE
NWS,26.0,14415493118.0,News Corporation,Entertainment,NASDAQ
NWSA,22.72,12829837592.0,News Corporation,Entertainment,NASDAQ
NXPI,244.43,61516790947.0,NXP Semiconductors N.V.,Semiconductors,NASDAQ
NYT,72.94,11876004804.0,The New York Times Company,Publishing,NYSE
O,65.66,60401027960.0,Realty Income Corporation,REIT - Retail,NYSE
ODFL,193.21,40399909399.0,"Old Dominion Freight Line, Inc.",Trucking,NASDAQ
OKE,86.11,54183167520.0,"ONEOK, Inc.",Oil & Gas Midstream,NYSE
OKTA,87.26,14787014155.0,"Okta, Inc.",Software - Infrastructure,NASDAQ
OMC,69.0,13315686930.0,Omnicom Group Inc.,Advertising Agencies,NYSE
ORCL,160.14,460256772600.0,Oracle Corporation,Software - Infrastructure,NYSE
ORI,42.57,10533946500.0,Old Republic International Corporation,Insurance - Diversified,NYSE
ORLY,96.66,81591099310.0,"O'Reilly Automotive, Inc.",Auto - Parts,NASDAQ
OTIS,89.83,35008176063.0,Otis Worldwide Corporation,Industrial - Machinery,NYSE
OXY,46.07,45388644694.0,Occidental Petroleum Corporation,Oil & Gas Exploration & Production,NYSE
PANW,166.95,116364150000.0,"Palo Alto Networks, Inc.",Software - Infrastructure,NASDAQ
PARA,11.04,6994082703.0,Paramount Global,Entertainment,NASDAQ
PCAR,127.0,66700907873.0,PACCAR Inc,Agricultural - Machinery,NASDAQ
PEG,86.37,43111928907.0,Public Service Enterprise Group Incorporated,Regulated Electric,NYSE
PEP,165.94,226896428971.0,"PepsiCo, Inc.",Beverages - Non-Alcoholic,NASDAQ
PFE,27.58,156811814284.0,Pfizer Inc.,Drug Manufacturers - General,NYSE
PFG,90.39,19858140660.0,"Principal Financial Group, Inc.",Insurance - Diversified,NASDAQ
PG,160.07,374040939188.0,The Procter & Gamble Company,Household & Personal Products,NYSE
PGR,204.53,119935778410.0,The Progressive Corporation,Insurance - Property & Casualty,NYSE
PH,1001.75,126437407926.0,Parker-Hannifin Corporation,Industrial - Machinery,NYSE
PHM,142.56,27418263428.0,"PulteGroup, Inc.",Residential Construction,NYSE
PINS,15.42,10417101816.0,"Pinterest, Inc.",Internet Content & Information,NYSE
PKG,246.31,22162251373.0,Packaging Corporation of America,Packaging & Containers,NYSE
PLD,138.97,129084646990.0,"Prologis, Inc.",REIT - Industrial,NYSE
PLTR,131.41,300184332517.0,Palantir Technologies Inc.,Software - Infrastructure,NASDAQ
PM,187.51,291892987858.0,Philip Morris International Inc.,Tobacco,NYSE
