date,value,cash
2018-03-28,282178.9562274351,57119.08567396525
2018-03-29,282953.88914043806,57119.08567396525
2018-04-02,277158.0553165904,57119.08567396525
2018-04-03,279142.2378905008,57119.08567396525
2018-04-04,281434.95605172036,57119.08567396525
2018-04-05,283814.51681916654,57119.08567396525
2018-04-06,271492.76622363064,57119.08567396525
2018-04-09,271780.678689276,54356.13573785513
2018-04-10,277097.1582906535,54356.13573785513
2018-04-11,274888.2976729696,54356.13573785513
2018-04-12,276392.0447218897,54356.13573785513
2018-04-13,275140.8971994599,54356.13573785513
2018-04-16,274995.70563405636,54356.13573785513
2018-04-17,278492.80999908847,54356.13573785513
2018-04-18,277732.13101632503,54356.13573785513
2018-04-19,276258.5315885989,54356.13573785513
2018-04-20,278026.76857393025,54356.13573785513
2018-04-23,278398.0554635469,54356.13573785513
2018-04-24,278636.0532364648,54356.13573785513
2018-04-25,274670.01311896014,54356.13573785513
2018-04-26,277218.726985073,54356.13573785513
2018-04-27,276953.02201562206,54356.13573785513
2018-04-30,276167.7734647498,54356.13573785513
2018-05-01,273100.09169486444,54356.13573785513
2018-05-02,258131.88257080968,54356.13573785513
2018-05-03,258240.88914823977,54356.13573785513
2018-05-04,260782.12285496775,54356.13573785513
2018-05-07,262545.3300641043,52509.0660128209
2018-05-08,263839.0125472069,52509.0660128209
2018-05-09,266387.92363926163,52509.0660128209
2018-05-10,266996.3421651189,52509.0660128209
2018-05-11,267937.21220191766,52509.0660128209
2018-05-14,267985.2272995123,52509.0660128209
2018-05-15,266828.3057264681,52509.0660128209
2018-05-16,268659.3589769696,52509.0660128209
2018-05-17,267572.2769155407,52509.0660128209
2018-05-18,267961.78432335635,52509.0660128209
2018-05-21,268015.53876527416,52509.0660128209
2018-05-22,267507.8343867039,52509.0660128209
2018-05-23,267116.17111657286,52509.0660128209
2018-05-24,266733.10119321157,52509.0660128209
2018-05-25,267672.8316673178,52509.0660128209
2018-05-29,265684.20583430305,52509.0660128209
2018-05-30,268885.4916470402,52509.0660128209
2018-05-31,269742.6539140402,52509.0660128209
2018-06-01,271570.9836251961,52509.0660128209
2018-06-04,275068.368344489,52509.0660128209
2018-06-05,278754.3538672461,52509.0660128209
2018-06-06,280245.824210107,52509.0660128209
2018-06-07,278565.64725870424,13928.28236293525
2018-06-08,277110.9576270892,13928.28236293525
2018-06-11,274852.9912906,13928.28236293525
2018-06-12,272719.5611988083,13928.28236293525
2018-06-13,272279.6361724693,13928.28236293525
2018-06-14,272489.2112665784,13928.28236293525
2018-06-15,269152.2584869798,13928.28236293525
2018-06-18,269725.8970811154,13928.28236293525
2018-06-19,267045.3364276055,13928.28236293525
2018-06-20,262067.26065597514,13928.28236293525
2018-06-21,259521.40669480345,13928.28236293525
2018-06-22,261981.99348021066,13928.28236293525
2018-06-25,258202.44143993518,13928.28236293525
2018-06-26,264147.45869578345,13928.28236293525
2018-06-27,263603.4095951759,13928.28236293525
2018-06-28,263798.2228132457,13928.28236293525
2018-06-29,262964.7573908585,13928.28236293525
2018-07-02,260142.24543679933,13928.28236293525
2018-07-03,260386.4367278492,13928.28236293525
2018-07-05,261219.61941657658,13928.28236293525
2018-07-06,263619.9775420297,13928.28236293525
2018-07-09,268982.74915498827,26898.27491549887
2018-07-10,268536.3795397389,26898.27491549887
2018-07-11,265622.39119949075,26898.27491549887
2018-07-12,268999.9313412445,26898.27491549887
2018-07-13,269706.3239153634,26898.27491549887
2018-07-16,274611.54055648914,26898.27491549887
2018-07-17,275614.70334364276,26898.27491549887
2018-07-18,278276.9528356765,26898.27491549887
2018-07-19,275143.0070828759,26898.27491549887
2018-07-20,273662.48744911724,26898.27491549887
2018-07-23,274428.7011198524,26898.27491549887
2018-07-24,274518.39074606623,26898.27491549887
2018-07-25,277533.04331665725,26898.27491549887
2018-07-26,282889.5745307622,26898.27491549887
2018-07-27,279810.16126946185,26898.27491549887
2018-07-30,274210.8076551808,26898.27491549887
2018-07-31,275140.20868540485,26898.27491549887
2018-08-01,273497.3849547268,26898.27491549887
2018-08-02,275028.3593149023,26898.27491549887
2018-08-03,275086.8339017975,26898.27491549887
2018-08-06,275296.74016431236,26898.27491549887
2018-08-07,276536.80231180275,27653.68023118029
2018-08-08,272324.5785860667,27653.68023118029
2018-08-09,272096.39738591516,27653.68023118029
2018-08-10,273539.4206207541,27653.68023118029
2018-08-13,273908.6514934439,27653.68023118029
2018-08-14,274090.93981809326,27653.68023118029
2018-08-15,271240.59256905544,27653.68023118029
2018-08-16,271816.2912622308,27653.68023118029
2018-08-17,266841.42047209456,27653.68023118029
2018-08-20,267075.16708765866,27653.68023118029
2018-08-21,267706.9309976387,27653.68023118029
2018-08-22,269535.8204633584,27653.68023118029
2018-08-23,270920.19630517357,27653.68023118029
2018-08-24,275343.87642857677,27653.68023118029
2018-08-27,275872.846492098,27653.68023118029
2018-08-28,274160.3773500768,27653.68023118029
2018-08-29,273902.2176319248,27653.68023118029
2018-08-30,271274.7499018,27653.68023118029
2018-08-31,271802.42186127545,27653.68023118029
