date,value,cash,stocks_value
2022-01-03,186108.6089419337,49459.450464816415,136649.15847711728
2022-01-04,184007.37276409636,49459.450464816415,134547.92229927995
2022-01-05,180359.03674744922,49459.450464816415,130899.58628263281
2022-01-06,179233.89691795598,49459.450464816415,129774.44645313956
2022-01-07,178105.83896796702,35507.08879345383,142598.75017451317
2022-01-10,179306.03610842128,35507.08879345383,143798.94731496746
2022-01-11,179903.69807576522,35507.08879345383,144396.6092823114
2022-01-12,179746.588485825,35507.08879345383,144239.49969237114
2022-01-13,178727.99245941796,35507.08879345383,143220.9036659641
2022-01-14,178148.36420924187,35507.08879345383,142641.27541578803
2022-01-18,175071.77385509497,35507.08879345383,139564.68506164115
2022-01-19,174200.0643402622,35507.08879345383,138692.9755468084
2022-01-20,172682.55156080594,35507.08879345383,137175.4627673521
2022-01-21,171130.2571622043,35507.08879345383,135623.16836875048
2022-01-24,171282.56090278627,35507.08879345383,135775.47210933245
2022-01-25,167814.40340721648,35507.08879345383,132307.31461376263
2022-01-26,166976.94557891178,59684.87139947672,107292.07417943506
2022-01-27,164598.74617880926,83461.43407231197,81137.3121064973
2022-01-28,166589.81350299064,83461.43407231197,83128.37943067867
2022-01-31,165809.20210760378,83461.43407231197,82347.7680352918
2022-02-01,166612.69044084207,83461.43407231197,83151.2563685301
2022-02-02,167465.36100002777,83461.43407231197,84003.9269277158
2022-02-03,166520.5410144127,83461.43407231197,83059.10694210074
2022-02-04,166445.4048632386,83461.43407231197,82983.97079092663
2022-02-07,166466.60102884346,54025.747758416604,112440.85327042686
2022-02-08,167681.05387100027,54025.747758416604,113655.30611258367
2022-02-09,169152.71123732085,54025.747758416604,115126.96347890426
2022-02-10,167825.2329484193,54025.747758416604,113799.48519000267
2022-02-11,167535.53100276316,54025.747758416604,113509.78324434656
2022-02-14,166538.12207655155,54025.747758416604,112512.37431813494
2022-02-15,169001.69080232122,54025.747758416604,114975.94304390461
2022-02-16,170418.35218883478,54025.747758416604,116392.60443041817
2022-02-17,168197.6410473694,54025.747758416604,114171.8932889528
2022-02-18,166328.6742855972,54025.747758416604,112302.92652718059
2022-02-22,165647.35193677765,54025.747758416604,111621.60417836103
2022-02-23,164573.197954537,54025.747758416604,110547.4501961204
2022-02-24,167036.50050295057,54025.747758416604,113010.75274453398
2022-02-25,170094.64185449964,54025.747758416604,116068.89409608304
2022-02-28,169714.37069957203,54025.747758416604,115688.62294115542
2022-03-01,169113.45342723263,54025.747758416604,115087.70566881601
2022-03-02,170842.23784156717,54025.747758416604,116816.49008315057
2022-03-03,170883.3173893392,54025.747758416604,116857.56963092262
2022-03-04,170486.33132682342,54025.747758416604,116460.58356840682
2022-03-07,168372.76563882243,47057.02704708424,121315.73859173819
2022-03-08,166028.44094279842,47057.02704708424,118971.41389571418
2022-03-09,169139.6975867268,47057.02704708424,122082.67053964257
2022-03-10,169662.8546226059,47057.02704708424,122605.82757552165
2022-03-11,168418.51886264238,47057.02704708424,121361.49181555814
2022-03-14,167871.35302036122,47057.02704708424,120814.32597327697
2022-03-15,171031.8213992022,47057.02704708424,123974.79435211795
2022-03-16,173143.46829769577,47057.02704708424,126086.44125061153
2022-03-17,175266.304256819,47057.02704708424,128209.27720973478
2022-03-18,175676.72745481093,47057.02704708424,128619.70040772668
2022-03-21,175821.3227912946,47057.02704708424,128764.29574421035
2022-03-22,176175.10129770916,47057.02704708424,129118.07425062492
2022-03-23,173146.93666643027,47057.02704708424,126089.90961934603
2022-03-24,174593.18168341045,47057.02704708424,127536.15463632622
2022-03-25,175261.71047286034,47057.02704708424,128204.68342577611
2022-03-28,176858.03602346408,47057.02704708424,129801.00897637985
2022-03-29,177841.00185531355,47057.02704708424,130783.97480822931
2022-03-30,176862.9614034322,47057.02704708424,129805.93435634795
2022-03-31,176433.24391372345,47057.02704708424,129376.21686663921
2022-04-01,178386.1025536098,47057.02704708424,131329.07550652555
2022-04-04,177052.55271652638,47057.02704708424,129995.52566944214
2022-04-05,176538.63696857967,47057.02704708424,129481.60992149543
2022-04-06,178637.35036909464,47057.02704708424,131580.3233220104
2022-04-07,181185.01992301797,50637.811588444136,130547.20833457384
2022-04-08,181415.3140651908,50637.811588444136,130777.50247674665
2022-04-11,179681.99308435363,50637.811588444136,129044.18149590949
2022-04-12,178743.9389756355,50637.811588444136,128106.12738719136
2022-04-13,180588.52667438585,50637.811588444136,129950.71508594172
2022-04-14,179759.08422385878,50637.811588444136,129121.27263541463
